"Subject","L_acc_good_bad_slf","L_acc_good_oth","L_acc_slf_oth_good","L_acc_slf_oth_bad","T_acc_Valence_good_bad_slf","T_acc_Valence_good_bad_oth","T_acc_Id_good_bad_slf","T_acc_ID_good_bad_oth","T_acc_Valence_slf_oth_good","T_acc_Valence_slf_oth_bad","T_acc_Id_slf_oth_good","T_acc_Id_slf_oth_bad"
"7003",0.05,0.366666666666667,-0.133333333333333,0.183333333333333,-0.0416666666666667,-0.013888888888889,0.0416666666666666,0.013888888888889,-0.0277777777777778,0,0.0416666666666666,0.013888888888889
"7004",0.1,0.0666666666666667,0.0166666666666666,-0.0166666666666667,0.111111111111111,-0.222222222222222,0.0305164319248826,-0.0416666666666667,0.222222222222222,-0.111111111111111,-0.0833333333333333,-0.155516431924883
"7005",0.216666666666667,0.133333333333333,0.216666666666667,0.133333333333333,0.0138888888888888,0.0277777777777778,0.0694444444444444,0.111111111111111,0.0416666666666666,0.0555555555555556,0,0.0416666666666667
"7006",0.15,0.216666666666667,-0.133333333333333,-0.0666666666666668,-0.0555555555555556,0.0694444444444445,-0.0416666666666666,0.0555555555555556,-0.0416666666666667,0.0833333333333334,-0.0694444444444444,0.0277777777777778
"7007",-0.0833333333333334,-0.0333333333333333,0,0.05,0.0138888888888888,-0.0277777777777778,0,-0.013888888888889,0,-0.0416666666666666,-0.0138888888888888,-0.0277777777777778
"7008",0.433333333333333,0.35,0.166666666666667,0.0833333333333333,0,-0.0555555555555556,-0.0694444444444444,-0.0416666666666667,0.0138888888888888,-0.0416666666666667,0.013888888888889,0.0416666666666666
"7009",0.55,0.0333333333333333,0.0666666666666667,-0.45,0.0694444444444444,-0.0277777777777778,-0.0416666666666666,-0.0416666666666667,0.0972222222222222,0,-0.0138888888888888,-0.013888888888889
"7010",0.1,-0.0166666666666666,0,-0.116666666666667,-0.013888888888889,0.0555555555555556,-0.0277777777777778,0.013888888888889,-0.0277777777777778,0.0416666666666667,-0.013888888888889,0.0277777777777778
"7011",-0.233333333333333,0.116666666666667,-0.0666666666666667,0.283333333333333,0.0555555555555556,-0.0277777777777778,-0.013888888888889,0.013888888888889,0.0416666666666667,-0.0416666666666666,-0.013888888888889,0.013888888888889
"7012",0.533333333333333,0.15,0.516666666666667,0.133333333333333,0.0277777777777778,-0.0240610328638498,0.138888888888889,-0.0138888888888888,0,-0.0518388106416275,0.0972222222222222,-0.0555555555555556
"7013",0.0833333333333334,-0.183333333333333,0.133333333333333,-0.133333333333333,0.0138888888888888,-0.0416666666666667,0.0277777777777778,0.013888888888889,0.0555555555555556,0,0.0277777777777778,0.013888888888889
"7015",-0.0957627118644068,-0.1,-0.0833333333333333,-0.0875706214689266,0.166666666666667,-0.0416666666666667,0,-0.0555555555555556,0.013888888888889,-0.194444444444445,0.0416666666666667,-0.0138888888888888
"7016",0.4,0.2,0.0499999999999999,-0.15,0.152777777777778,-0.0416666666666667,0.0416666666666666,-0.180555555555556,0.0555555555555556,-0.138888888888889,0.166666666666667,-0.0555555555555556
"7018",0.15,0.0833333333333334,-0.0333333333333333,-0.1,0,0,0,0,0,0,0,0
"7019",0.116666666666667,0.116666666666667,0.0333333333333333,0.0333333333333333,0,-0.0277777777777778,0.0416666666666667,-0.0277777777777778,0.0555555555555556,0.0277777777777778,0.0694444444444445,0
"7020",0.0333333333333333,-0.0833333333333333,0.183333333333333,0.0666666666666667,0.0138888888888888,-0.0416666666666666,0,-0.0416666666666666,0.0416666666666666,-0.0138888888888888,0.0416666666666666,0
"7022",0.266666666666667,0.183333333333333,-0.316666666666667,-0.4,0.0277777777777778,0.125,0.0277777777777778,-0.0416666666666666,0,0.0972222222222222,-0.0416666666666666,-0.111111111111111
"7023",0.233333333333333,0.1,0.216666666666667,0.0833333333333333,-0.0833333333333334,0.013888888888889,0.291666666666667,-0.166666666666667,-0.111111111111111,-0.0138888888888888,0.208333333333333,-0.25
"7025",0.233333333333333,0.183333333333333,0.116666666666667,0.0666666666666667,0.0416666666666666,-0.180555555555556,0.208333333333333,-0.0972222222222223,0.208333333333333,-0.0138888888888888,0.0694444444444445,-0.236111111111111
"7026",0.266666666666667,0.366666666666667,-0.366666666666667,-0.266666666666667,-0.0972222222222222,0.138888888888889,0.013888888888889,0.111111111111111,-0.138888888888889,0.0972222222222222,-0.152777777777778,-0.0555555555555556
"7028",0.45,-0.0833333333333334,0.3,-0.233333333333333,0.0555555555555556,-0.125,0.0972222222222222,-0.125,0.152777777777778,-0.0277777777777778,0.152777777777778,-0.0694444444444444
"7029",0.166666666666667,-0.2,0.266666666666667,-0.1,-0.0138888888888888,-0.0833333333333334,0.0555555555555556,-0.0972222222222222,0.111111111111111,0.0416666666666666,0.138888888888889,-0.0138888888888888
"7030",0.0666666666666667,-0.0666666666666667,0.0166666666666666,-0.116666666666667,-0.0416666666666667,-0.0277777777777778,-0.0138888888888888,-0.0138888888888888,-0.013888888888889,0,0,0
"7031",0.0833333333333334,0.25,0.0333333333333333,0.2,0.111111111111111,-0.138888888888889,0.013888888888889,-0.0694444444444445,0.0972222222222222,-0.152777777777778,0.0416666666666667,-0.0416666666666667
"7032",0.366666666666667,-0.0666666666666667,0.2,-0.233333333333333,0.208333333333333,-0.111111111111111,0.0456349206349207,0.0167002012072435,0.208333333333333,-0.111111111111111,0.07179186228482,0.0428571428571428
"7033",0.65,0.0333333333333333,0.0833333333333333,-0.533333333333333,0.013888888888889,-0.0694444444444445,-0.0416666666666667,-0.0416666666666667,0.0694444444444445,-0.013888888888889,0,0
