"Subject","T_rt_Id_task_Self_Good","T_rt_Id_task_Self_Bad","T_rt_Id_task_Other_Good","T_rt_Id_task_Other_Bad","T_rt_Valence_task_Self_Good","T_rt_Valence_task_Self_Bad","T_rt_Valence_task_Other_Good","T_rt_Valence_task_Other_Bad","T_rt_Valence_good_bad_slf","T_rt_Valence_good_bad_oth","T_rt_Id_good_bad_slf","T_rt_ID_good_bad_oth","T_rt_Valence_slf_oth_good","T_rt_valence_slf_oth_bad","T_rt_Id_slf_oth_good","T_rt_Id_slf_oth_bad"
"7003",596.097222222222,565.8,608.572463768116,632.798529411765,564.388235294118,589.246478873239,533.934285714286,598.278873239437,-24.8582435791218,-64.3445875251509,30.2972222222222,-24.2260656436487,30.4539495798319,-9.0323943661972,-12.4752415458938,-66.9985294117647
"7004",502.845,525.673684210526,552.793939393939,519.872463768116,502.672222222222,479.7015625,551.025,476.383333333333,22.9706597222222,74.6416666666667,-22.8286842105263,32.9214756258234,-48.3527777777778,3.3182291666667,-49.9489393939394,5.80122044241034
"7005",491.343055555556,535.431343283582,466.256944444444,484.31875,451.616666666667,540.540845070423,499.826086956522,519.14776119403,-88.9241784037558,-19.3216742375081,-44.0882877280266,-18.0618055555556,-48.2094202898551,21.3930838763927,25.0861111111111,51.1125932835821
"7006",547.244444444444,541.722727272727,474.925,574.665625,461.061764705882,432.5625,449.811267605634,474.531818181818,28.4992647058824,-24.7205505761844,5.52171717171711,-99.740625,11.2504971002485,-41.9693181818182,72.3194444444444,-32.9428977272727
"7007",500.831884057971,504.572463768116,545.004285714286,519.228169014085,510.508571428571,591.171014492754,520.678571428571,508.295833333333,-80.6624430641822,12.3827380952381,-3.74057971014491,25.7761167002012,-10.17,82.8751811594203,-44.1724016563147,-14.6557052459686
"7008",410.598039215686,422.128571428571,456.31,435.096226415094,467.48125,537.7078125,509.579365079365,515.508955223881,-70.2265625000001,-5.92959014451549,-11.5305322128851,21.2137735849057,-42.0981150793651,22.1988572761195,-45.7119607843137,-12.9676549865229
"7009",611.716071428571,683.766101694915,637.368421052632,565.306666666667,543.261428571429,596.52,584.060317460317,541.153846153846,-53.2585714285714,42.9064713064713,-72.0500302663438,72.0617543859649,-40.7988888888889,55.3661538461538,-25.6523496240601,118.459435028249
"7010",439.93,407.440277777778,413.628169014085,423.185714285714,505.942857142857,457.647887323944,437.668055555556,486.573529411765,48.2949698189134,-48.9054738562091,32.4897222222222,-9.55754527162981,68.2748015873016,-28.925642087821,26.3018309859155,-15.7454365079365
"7011",479.048529411765,450.397101449275,577.35652173913,507.761764705882,532.823188405797,540.049230769231,512.789393939394,531.805882352941,-7.22604236343375,-19.0164884135472,28.6514279624894,69.5947570332481,20.0337944664032,8.24334841628968,-98.3079923273658,-57.364663256607
"7012",453.942028985507,524.449152542373,518.367741935484,490.877777777778,486.378431372549,464.359183673469,518.894117647059,479.875,22.0192476990796,39.0191176470588,-70.5071235568656,27.4899641577061,-32.5156862745098,-15.5158163265306,-64.4257129499766,33.5713747645951
"7013",476.371830985915,557.2,524.2,546.507352941176,430.441666666667,517.685915492958,468.075,505,-87.2442488262911,-36.925,-80.8281690140846,-22.3073529411764,-37.6333333333333,12.6859154929577,-47.8281690140846,10.6926470588236
"7015",511.761194029851,490.920895522388,537.2828125,526.104411764706,509.067164179105,563.690909090909,524.698484848485,517.784057971014,-54.6237449118046,6.91442687747042,20.8402985074627,11.1784007352941,-15.6313206693804,45.9068511198947,-25.5216184701492,-35.1835162423179
"7016",469.12,556.014925373134,636.555172413793,520.107042253521,528.490277777778,615.193442622951,644.229411764706,531.504225352113,-86.703164845173,112.725186412593,-86.8949253731344,116.448130160272,-115.739133986928,83.6892172708381,-167.435172413793,35.9078831196132
"7018",518.106944444444,496.345833333333,490.655555555556,576.541666666667,493.336111111111,495.236111111111,427.102777777778,515.873611111111,-1.89999999999998,-88.7708333333334,21.7611111111111,-85.8861111111111,66.2333333333333,-20.6375,27.4513888888889,-80.1958333333333
"7019",562.76231884058,587.092424242424,612.6953125,565.9,580.489230769231,588.164615384615,551.375409836066,578.352380952381,-7.6753846153847,-26.9769711163153,-24.3301054018445,46.7953125,29.1138209331651,9.8122344322345,-49.9329936594203,21.1924242424243
"7020",563.061111111111,548.497222222222,599.091304347826,579.6,630.543055555555,627.750704225352,640.336231884058,620.411111111111,2.79235133020336,19.9251207729468,14.5638888888889,19.491304347826,-9.79317632850245,7.33959311424098,-36.0301932367149,-31.1027777777778
"7022",643.414516129032,626.971666666667,648.789230769231,670.676470588235,558.628169014085,620.611594202899,557.525352112676,655.941935483871,-61.9834251888141,-98.416583371195,16.4428494623655,-21.8872398190044,1.10281690140846,-35.3303412809724,-5.37471464019859,-43.7048039215686
"7023",486.078260869565,527.829166666667,560.059259259259,535.883333333333,533.033333333333,506.595652173913,478.295774647887,512.848571428571,26.4376811594203,-34.5527967806841,-41.7509057971014,24.175925925926,54.737558685446,-6.25291925465837,-73.9809983896941,-8.05416666666667
"7025",521.205797101449,585.324074074074,558.8578125,506.981690140845,480.7125,501.455072463768,560.347368421053,490.632857142857,-20.7425724637681,69.7145112781955,-64.1182769726247,51.8761223591549,-79.6348684210526,10.822215320911,-37.6520153985507,78.3423839332289
"7026",517,503.969491525424,438.22676056338,501.750793650794,547.34,544.874626865672,475.075714285714,608.625,2.46537313432839,-133.549285714286,13.0305084745763,-63.5240330874134,72.2642857142857,-63.7503731343284,78.7732394366197,2.2186978746301
"7028",538.933333333333,606.96,667.619672131148,594.551428571429,558.529577464789,640.001492537313,657.601666666667,598.950724637681,-81.4719150725247,58.6509420289856,-68.0266666666666,73.068243559719,-99.0720892018779,41.0507678996323,-128.686338797814,12.4085714285715
"7029",561.265671641791,587.415873015873,646.09649122807,596.8546875,533.517910447761,616.323529411765,586.884745762712,604.395384615385,-82.8056189640035,-17.5106388526727,-26.1502013740819,49.2418037280702,-53.3668353149507,11.9281447963801,-84.8308195862791,-9.43881448412696
"7030",479.412676056338,474.045833333333,449.53661971831,465.154166666667,524.425,528.367605633803,487.059420289855,540.608450704225,-3.94260563380283,-53.5490304143702,5.36684272300471,-15.6175469483568,37.3655797101449,-12.2408450704226,29.8760563380282,8.89166666666665
