"Subject","ACC_Id_Good_Self","ACC_Id_Good_Other","ACC_Id_Bad_Self","ACC_Id_Bad_Other","ACC_Val_Good_Self","ACC_Val_Good_Other","ACC_Val_Bad_Self","ACC_Val_Bad_Other","RT_Id_Good_Self","RT_Id_Good_Other","RT_Id_Bad_Self","RT_Id_Bad_Other","RT_Val_Good_Self","RT_Val_Good_Other","RT_Val_Bad_Self","RT_Val_Bad_Other"
7003,1,0.958333333333333,0.958333333333333,0.944444444444444,0.944444444444444,0.972222222222222,0.986111111111111,0.986111111111111,596.097222222222,608.572463768116,565.8,632.798529411765,564.388235294118,533.934285714286,589.246478873239,598.278873239437
7004,0.833333333333333,0.916666666666667,0.802816901408451,0.958333333333333,1,0.777777777777778,0.888888888888889,1,502.845,552.793939393939,525.673684210526,519.872463768116,502.672222222222,551.025,479.7015625,476.383333333333
7005,1,1,0.930555555555556,0.888888888888889,1,0.958333333333333,0.986111111111111,0.930555555555556,491.343055555556,466.256944444444,535.431343283582,484.31875,451.616666666667,499.826086956522,540.540845070423,519.14776119403
7006,0.875,0.944444444444444,0.916666666666667,0.888888888888889,0.944444444444444,0.986111111111111,1,0.916666666666667,547.244444444444,474.925,541.722727272727,574.665625,461.061764705882,449.811267605634,432.5625,474.531818181818
7007,0.958333333333333,0.972222222222222,0.958333333333333,0.986111111111111,0.972222222222222,0.972222222222222,0.958333333333333,1,500.831884057971,545.004285714286,504.572463768116,519.228169014085,510.508571428571,520.678571428571,591.171014492754,508.295833333333
7008,0.708333333333333,0.694444444444444,0.777777777777778,0.736111111111111,0.888888888888889,0.875,0.888888888888889,0.930555555555556,410.598039215686,456.31,422.128571428571,435.096226415094,467.48125,509.579365079365,537.7078125,515.508955223881
7009,0.777777777777778,0.791666666666667,0.819444444444444,0.833333333333333,0.972222222222222,0.875,0.902777777777778,0.902777777777778,611.716071428571,637.368421052632,683.766101694915,565.306666666667,543.261428571429,584.060317460317,596.52,541.153846153846
7010,0.972222222222222,0.986111111111111,1,0.972222222222222,0.972222222222222,1,0.986111111111111,0.944444444444444,439.93,413.628169014085,407.440277777778,423.185714285714,505.942857142857,437.668055555556,457.647887323944,486.573529411765
7011,0.944444444444444,0.958333333333333,0.958333333333333,0.944444444444444,0.958333333333333,0.916666666666667,0.902777777777778,0.944444444444444,479.048529411765,577.35652173913,450.397101449275,507.761764705882,532.823188405797,512.789393939394,540.049230769231,531.805882352941
7012,0.958333333333333,0.861111111111111,0.819444444444444,0.875,0.708333333333333,0.708333333333333,0.680555555555556,0.732394366197183,453.942028985507,518.367741935484,524.449152542373,490.877777777778,486.378431372549,518.894117647059,464.359183673469,479.875
