"Subject","Age","Gender","ACC_match_Good_Self","ACC_match_Good_Other","ACC_match_Bad_Self","ACC_match_Bad_Other","ACC_nonmatch_Good_Self","ACC_nonmatch_Good_Other","ACC_nonmatch_Bad_Self","ACC_nonmatch_Bad_Other","d_Good_Self","d_Good_Other","d_Bad_Self","d_Bad_Other","RT_match_Good_Self","RT_match_Good_Other","RT_match_Bad_Self","RT_match_Bad_Other","RT_nonmatch_Good_Self","RT_nonmatch_Good_Other","RT_nonmatch_Bad_Self","RT_nonmatch_Bad_Other"
7003,19,"male",0.766666666666667,0.9,0.716666666666667,0.533333333333333,0.65,0.716666666666667,0.883333333333333,0.7,1.11323375728921,1.85451911404006,1.76478372017686,0.60805224661517,702.8,660.02037037037,723.446511627907,788.709375,789.697435897436,746.918604651163,718.349056603774,793.204761904762
7004,22,"female",0.95,0.933333333333333,0.85,0.866666666666667,0.65,0.816666666666667,0.783333333333333,0.85,2.03017409335904,2.40382073768789,1.81993376488356,2.14720500613057,627.756140350877,628.191071428571,738.33137254902,691.123076923077,721.033333333333,730.657142857143,773.165957446809,718.047058823529
7005,20,"male",0.983333333333333,0.766666666666667,0.766666666666667,0.633333333333333,0.683333333333333,0.833333333333333,0.8,0.866666666666667,2.60508566267443,1.69533485698335,1.56953452445456,1.45146644372458,601.010169491525,660.134782608696,741.278260869565,747.915789473684,752.173170731707,746.998,785.19375,745.436538461538
7006,21,"female",0.85,0.983333333333333,0.7,0.766666666666667,0.783333333333333,0.8,0.916666666666667,0.833333333333333,1.81993376488356,2.9696664677579,1.90739463980868,1.69533485698335,659.494117647059,582.659322033898,715.309523809524,709.295652173913,702.697872340426,693.602083333333,713,691.286
7007,21,"male",0.633333333333333,0.633333333333333,0.716666666666667,0.666666666666667,0.533333333333333,0.566666666666667,0.55,0.666666666666667,0.424346560994924,0.508588831875901,0.698628895350538,0.861454598590915,737.18947368421,797.013157894737,722.9,735.6825,745.259375,739.814705882353,735.533333333333,772.3675
7008,21,"male",0.933333333333333,0.766666666666667,0.5,0.416666666666667,0.55,0.55,0.516666666666667,0.583333333333333,1.6267472928991,0.853574637736718,0.0417892978164538,0,524.189285714286,661.352173913044,651.726666666667,637.22,682.754545454545,721.142424242424,701.790322580645,654.514285714286
7009,25,"female",0.85,0.783333333333333,0.3,0.75,0.3,0.466666666666667,0.533333333333333,0.466666666666667,0.512032876785749,0.699848641482645,-0.440748778800912,0.590838016288953,706.53137254902,733.648936170213,694.533333333333,686.033333333333,867.411111111111,805.589285714286,813.64375,807.539285714286
7010,20,"female",0.966666666666667,0.966666666666667,0.866666666666667,0.983333333333333,0.933333333333333,0.983333333333333,0.883333333333333,0.933333333333333,3.33500058185994,3.9619598700009,2.30258778831818,3.62913118022901,631.255172413793,595.506896551724,720.648076923077,657.113559322034,669.4875,637.318644067797,671.958490566038,623.605357142857
7011,27,"male",0.65,0.716666666666667,0.883333333333333,0.6,0.683333333333333,0.75,0.883333333333333,0.75,0.862360894897011,1.24745729869155,2.38363234336279,0.927836853331881,898.666666666667,840.293023255814,716.964150943396,882.311111111111,882.456097560976,903.593333333333,848.239622641509,864.024444444444
7012,22,"female",0.95,0.433333333333333,0.416666666666667,0.283333333333333,0.7,0.716666666666667,0.716666666666667,0.666666666666667,2.16925413965951,0.405073543707358,0.362539154247539,-0.142240249200006,555.238596491228,719.226923076923,704.992,725.423529411765,691.719047619048,695.286046511628,675.155813953488,681.45
7013,21,"female",0.933333333333333,0.8,0.85,0.983333333333333,0.883333333333333,0.85,0.883333333333333,0.983333333333333,2.69290211772542,1.8780546230667,2.22824956117518,4.25609046836997,641.692857142857,757.616666666667,755.766666666667,589.393220338983,705.354716981132,761.001960784314,745.42641509434,690.135593220339
7014,23,"female",0.983333333333333,0.966666666666667,0.783333333333333,0.95,0.783333333333333,0.966666666666667,0.933333333333333,0.866666666666667,2.91154560957476,3.66782927163183,2.2845863214338,2.75562524358826,649.127118644068,586.939655172414,712.221276595745,652.273684210526,715.091489361702,669.241379310345,663.692857142857,742.390384615385
7015,23,"female",0.65,0.733333333333333,0.745762711864407,0.833333333333333,0.333333333333333,0.6,0.55,0.5,-0.0454068328878897,0.876272826345888,0.786876139056389,0.967421566101701,713.912820512821,673.822727272727,718.659090909091,660.954,746.73,725.661111111111,718.427272727273,731.91
7016,21,"female",0.95,0.9,0.55,0.7,0.566666666666667,0.416666666666667,0.416666666666667,0.483333333333333,1.81274763173958,1.07112317129668,-0.0847670473928507,0.482611214891587,550.521052631579,708.477777777778,820.545454545455,782.038095238095,812.008823529412,839.796,830.728,813.11724137931
7018,23,"male",0.966666666666667,1,0.816666666666667,0.916666666666667,0.916666666666667,0.9,0.933333333333333,0.966666666666667,3.21690876291655,3.67553136536311,2.40382073768789,3.21690876291655,639.506896551724,528.98,758.081632653061,720.985454545455,725,691.477777777778,711.526785714286,707.8
7019,20,"female",0.916666666666667,0.883333333333333,0.8,0.766666666666667,0.55,0.616666666666667,0.833333333333333,0.666666666666667,1.50865547395571,1.48855400994129,1.80904279967462,1.1586405901771,677.212727272727,716.096226415094,753.525,818.384782608696,821.472727272727,799.845945945946,814.908,842.27
7020,24,"male",0.983333333333333,0.8,0.95,0.883333333333333,0.85,0.85,0.9,0.916666666666667,3.16447862367877,1.8780546230667,2.92640519249607,2.57481029878203,725.491525423729,813.383333333333,794.322807017544,834.158490566038,829.537254901961,848.007843137255,866.168518518519,856.470909090909
