"Subject","L_rt_m.good_bad_slf","L_rt_m.good_bad_oth","L_rt_m.slf_oth_good","L_rt_m.slf_oth_bad","T_rt_Valence_good_bad_slf","T_rt_Valence_good_bad_oth","T_rt_Id_good_bad_slf","T_rt_ID_good_bad_oth","T_rt_Valence_slf_oth_good","T_rt_valence_slf_oth_bad","T_rt_Id_slf_oth_good","T_rt_Id_slf_oth_bad"
"7003",-20.646511627907,-128.68900462963,42.7796296296295,-65.2628633720931,-24.8582435791218,-64.3445875251509,30.2972222222222,-24.2260656436487,30.4539495798319,-9.0323943661972,-12.4752415458938,-66.9985294117647
"7004",-110.575232198142,-62.9320054945056,-0.434931077694159,47.2082956259427,22.9706597222222,74.6416666666667,-22.8286842105263,32.9214756258234,-48.3527777777778,3.3182291666667,-49.9489393939394,5.80122044241034
"7005",-140.26809137804,-87.7810068649885,-59.1246131171703,-6.63752860411898,-88.9241784037558,-19.3216742375081,-44.0882877280266,-18.0618055555556,-48.2094202898551,21.3930838763927,25.0861111111111,51.1125932835821
"7006",-55.815406162465,-126.636330140015,76.8347956131605,6.01387163561083,28.4992647058824,-24.7205505761844,5.52171717171711,-99.740625,11.2504971002485,-41.9693181818182,72.3194444444444,-32.9428977272727
"7007",14.2894736842105,61.3306578947369,-59.8236842105264,-12.7825,-80.6624430641822,12.3827380952381,-3.74057971014491,25.7761167002012,-10.17,82.8751811594203,-44.1724016563147,-14.6557052459686
"7008",-127.537380952381,24.1321739130435,-137.162888198758,14.5066666666667,-70.2265625000001,-5.92959014451549,-11.5305322128851,21.2137735849057,-42.0981150793651,22.1988572761195,-45.7119607843137,-12.9676549865229
"7009",11.9980392156863,47.6156028368795,-27.1175636211932,8.5,-53.2585714285714,42.9064713064713,-72.0500302663438,72.0617543859649,-40.7988888888889,55.3661538461538,-25.6523496240601,118.459435028249
"7010",-89.3929045092838,-61.6066627703098,35.748275862069,63.534517601043,48.2949698189134,-48.9054738562091,32.4897222222222,-9.55754527162981,68.2748015873016,-28.925642087821,26.3018309859155,-15.7454365079365
"7011",181.70251572327,-42.0180878552972,58.3736434108527,-165.346960167715,-7.22604236343375,-19.0164884135472,28.6514279624894,69.5947570332481,20.0337944664032,8.24334841628968,-98.3079923273658,-57.364663256607
"7012",-149.753403508772,-6.19660633484159,-163.988326585695,-20.4315294117647,22.0192476990796,39.0191176470588,-70.5071235568656,27.4899641577061,-32.5156862745098,-15.5158163265306,-64.4257129499766,33.5713747645951
"7013",-114.073809523809,168.223446327684,-115.923809523809,166.373446327684,-87.2442488262911,-36.925,-80.8281690140846,-22.3073529411764,-37.6333333333333,12.6859154929577,-47.8281690140846,10.6926470588236
"7015",-4.74627039627035,12.8687272727274,40.0900932400932,57.7050909090909,-54.6237449118046,6.91442687747042,20.8402985074627,11.1784007352941,-15.6313206693804,45.9068511198947,-25.5216184701492,-35.1835162423179
"7016",-270.024401913876,-73.5603174603175,-157.956725146199,38.5073593073593,-86.703164845173,112.725186412593,-86.8949253731344,116.448130160272,-115.739133986928,83.6892172708381,-167.435172413793,35.9078831196132
"7018",-118.574736101337,-192.005454545455,110.526896551724,37.0961781076066,-1.89999999999998,-88.7708333333334,21.7611111111111,-85.8861111111111,66.2333333333333,-20.6375,27.4513888888889,-80.1958333333333
"7019",-76.3122727272727,-102.288556193601,-38.883499142367,-64.8597826086957,-7.6753846153847,-26.9769711163153,-24.3301054018445,46.7953125,29.1138209331651,9.8122344322345,-49.9329936594203,21.1924242424243
"7020",-68.831281593815,-20.7751572327044,-87.8918079096045,-39.8356835484939,2.79235133020336,19.9251207729468,14.5638888888889,19.491304347826,-9.79317632850245,7.33959311424098,-36.0301932367149,-31.1027777777778
"7022",-151.933971291866,-160.02234935164,91.6543859649123,83.5660079051383,-61.9834251888141,-98.416583371195,16.4428494623655,-21.8872398190044,1.10281690140846,-35.3303412809724,-5.37471464019859,-43.7048039215686
"7023",-89.3494047619047,-75.4776869893149,-12.9022840531561,0.969433719433709,26.4376811594203,-34.5527967806841,-41.7509057971014,24.175925925926,54.737558685446,-6.25291925465837,-73.9809983896941,-8.05416666666667
"7025",-138.428869179601,1.51064189189185,-117.484204545455,22.4553065260383,-20.7425724637681,69.7145112781955,-64.1182769726247,51.8761223591549,-79.6348684210526,10.822215320911,-37.6520153985507,78.3423839332289
"7026",-67.9856459330143,-152.222894736842,105.420263157895,21.1830143540669,2.46537313432839,-133.549285714286,13.0305084745763,-63.5240330874134,72.2642857142857,-63.7503731343284,78.7732394366197,2.2186978746301
"7028",-171.136540600667,38.4225,-160.933879310345,48.6251612903226,-81.4719150725247,58.6509420289856,-68.0266666666666,73.068243559719,-99.0720892018779,41.0507678996323,-128.686338797814,12.4085714285715
"7029",-10.5757575757575,-16.3188034188034,-18.6555555555556,-24.3986013986015,-82.8056189640035,-17.5106388526727,-26.1502013740819,49.2418037280702,-53.3668353149507,11.9281447963801,-84.8308195862791,-9.43881448412696
"7030",-136.063025488249,45.8746428571428,1.54044486215537,183.478113207547,-3.94260563380283,-53.5490304143702,5.36684272300471,-15.6175469483568,37.3655797101449,-12.2408450704226,29.8760563380282,8.89166666666665
"7031",-36.8364444444444,-77.9581439393938,-37.4799166666667,-78.6016161616161,-63.1036652236652,55.5671536796536,58.6694934418815,73.5811367753623,-67.3105158730159,51.3603030303029,-73.7662546641791,-58.8546113306983
"7032",-224.759230416858,-4.0233625365039,-117.234331049405,103.501536830949,-171.837922705314,34.076403823178,-84.1705128205128,45.089771037764,-155.656441223832,50.2578853046596,-161.245371577575,-31.9850877192982
"7033",-178.777613636364,-59.5180833333334,-23.5803636363636,95.6791666666667,69.4573440643863,99.2491037131883,-11.5468931234466,135.990451532726,-36.891357234315,-7.09959758551304,-15.7838235294118,131.753521126761
"7034",-98.0960784313726,-164.388660477454,63.298275862069,-2.99430618401198,41.4875621890548,-65.5741200828157,16.1466988727859,-27.3856490872211,54.152380952381,-52.9093013194895,43.9376311844078,0.405283224400875
