"Subject","T_acc_Id_task_Self_Good","T_acc_Id_task_Self_Bad","T_acc_Id_task_Other_Good","T_acc_Id_task_Other_Bad","T_acc_Valence_task_Self_Good","T_acc_Valence_task_Self_Bad","T_acc_Valence_task_Other_Good","T_acc_Valence_task_Other_Bad","T_acc_Valence_good_bad_slf","T_acc_Valence_good_bad_oth","T_acc_Id_good_bad_slf","T_acc_ID_good_bad_oth","T_acc_Valence_slf_oth_good","T_acc_Valence_slf_oth_bad","T_acc_Id_slf_oth_good","T_acc_Id_slf_oth_bad"
"7003",1,0.958333333333333,0.958333333333333,0.944444444444444,0.944444444444444,0.986111111111111,0.972222222222222,0.986111111111111,-0.0416666666666667,-0.013888888888889,0.0416666666666666,0.013888888888889,-0.0277777777777778,0,0.0416666666666666,0.013888888888889
"7004",0.833333333333333,0.802816901408451,0.916666666666667,0.958333333333333,1,0.888888888888889,0.777777777777778,1,0.111111111111111,-0.222222222222222,0.0305164319248826,-0.0416666666666667,0.222222222222222,-0.111111111111111,-0.0833333333333333,-0.155516431924883
"7005",1,0.930555555555556,1,0.888888888888889,1,0.986111111111111,0.958333333333333,0.930555555555556,0.0138888888888888,0.0277777777777778,0.0694444444444444,0.111111111111111,0.0416666666666666,0.0555555555555556,0,0.0416666666666667
"7006",0.875,0.916666666666667,0.944444444444444,0.888888888888889,0.944444444444444,1,0.986111111111111,0.916666666666667,-0.0555555555555556,0.0694444444444445,-0.0416666666666666,0.0555555555555556,-0.0416666666666667,0.0833333333333334,-0.0694444444444444,0.0277777777777778
"7007",0.958333333333333,0.958333333333333,0.972222222222222,0.986111111111111,0.972222222222222,0.958333333333333,0.972222222222222,1,0.0138888888888888,-0.0277777777777778,0,-0.013888888888889,0,-0.0416666666666666,-0.0138888888888888,-0.0277777777777778
"7008",0.708333333333333,0.777777777777778,0.694444444444444,0.736111111111111,0.888888888888889,0.888888888888889,0.875,0.930555555555556,0,-0.0555555555555556,-0.0694444444444444,-0.0416666666666667,0.0138888888888888,-0.0416666666666667,0.013888888888889,0.0416666666666666
"7009",0.777777777777778,0.819444444444444,0.791666666666667,0.833333333333333,0.972222222222222,0.902777777777778,0.875,0.902777777777778,0.0694444444444444,-0.0277777777777778,-0.0416666666666666,-0.0416666666666667,0.0972222222222222,0,-0.0138888888888888,-0.013888888888889
"7010",0.972222222222222,1,0.986111111111111,0.972222222222222,0.972222222222222,0.986111111111111,1,0.944444444444444,-0.013888888888889,0.0555555555555556,-0.0277777777777778,0.013888888888889,-0.0277777777777778,0.0416666666666667,-0.013888888888889,0.0277777777777778
"7011",0.944444444444444,0.958333333333333,0.958333333333333,0.944444444444444,0.958333333333333,0.902777777777778,0.916666666666667,0.944444444444444,0.0555555555555556,-0.0277777777777778,-0.013888888888889,0.013888888888889,0.0416666666666667,-0.0416666666666666,-0.013888888888889,0.013888888888889
"7012",0.958333333333333,0.819444444444444,0.861111111111111,0.875,0.708333333333333,0.680555555555556,0.708333333333333,0.732394366197183,0.0277777777777778,-0.0240610328638498,0.138888888888889,-0.0138888888888888,0,-0.0518388106416275,0.0972222222222222,-0.0555555555555556
"7013",0.986111111111111,0.958333333333333,0.958333333333333,0.944444444444444,1,0.986111111111111,0.944444444444444,0.986111111111111,0.0138888888888888,-0.0416666666666667,0.0277777777777778,0.013888888888889,0.0555555555555556,0,0.0277777777777778,0.013888888888889
"7015",0.930555555555556,0.930555555555556,0.888888888888889,0.944444444444444,0.930555555555556,0.763888888888889,0.916666666666667,0.958333333333333,0.166666666666667,-0.0416666666666667,0,-0.0555555555555556,0.013888888888889,-0.194444444444445,0.0416666666666667,-0.0138888888888888
"7016",0.972222222222222,0.930555555555556,0.805555555555556,0.986111111111111,1,0.847222222222222,0.944444444444444,0.986111111111111,0.152777777777778,-0.0416666666666667,0.0416666666666666,-0.180555555555556,0.0555555555555556,-0.138888888888889,0.166666666666667,-0.0555555555555556
"7018",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"7019",0.958333333333333,0.916666666666667,0.888888888888889,0.916666666666667,0.902777777777778,0.902777777777778,0.847222222222222,0.875,0,-0.0277777777777778,0.0416666666666667,-0.0277777777777778,0.0555555555555556,0.0277777777777778,0.0694444444444445,0
"7020",1,1,0.958333333333333,1,1,0.986111111111111,0.958333333333333,1,0.0138888888888888,-0.0416666666666666,0,-0.0416666666666666,0.0416666666666666,-0.0138888888888888,0.0416666666666666,0
"7022",0.861111111111111,0.833333333333333,0.902777777777778,0.944444444444444,0.986111111111111,0.958333333333333,0.986111111111111,0.861111111111111,0.0277777777777778,0.125,0.0277777777777778,-0.0416666666666666,0,0.0972222222222222,-0.0416666666666666,-0.111111111111111
"7023",0.958333333333333,0.666666666666667,0.75,0.916666666666667,0.875,0.958333333333333,0.986111111111111,0.972222222222222,-0.0833333333333334,0.013888888888889,0.291666666666667,-0.166666666666667,-0.111111111111111,-0.0138888888888888,0.208333333333333,-0.25
"7025",0.958333333333333,0.75,0.888888888888889,0.986111111111111,1,0.958333333333333,0.791666666666667,0.972222222222222,0.0416666666666666,-0.180555555555556,0.208333333333333,-0.0972222222222223,0.208333333333333,-0.0138888888888888,0.0694444444444445,-0.236111111111111
"7026",0.833333333333333,0.819444444444444,0.986111111111111,0.875,0.833333333333333,0.930555555555556,0.972222222222222,0.833333333333333,-0.0972222222222222,0.138888888888889,0.013888888888889,0.111111111111111,-0.138888888888889,0.0972222222222222,-0.152777777777778,-0.0555555555555556
"7028",1,0.902777777777778,0.847222222222222,0.972222222222222,0.986111111111111,0.930555555555556,0.833333333333333,0.958333333333333,0.0555555555555556,-0.125,0.0972222222222222,-0.125,0.152777777777778,-0.0277777777777778,0.152777777777778,-0.0694444444444444
"7029",0.930555555555556,0.875,0.791666666666667,0.888888888888889,0.930555555555556,0.944444444444444,0.819444444444444,0.902777777777778,-0.0138888888888888,-0.0833333333333334,0.0555555555555556,-0.0972222222222222,0.111111111111111,0.0416666666666666,0.138888888888889,-0.0138888888888888
"7030",0.986111111111111,1,0.986111111111111,1,0.944444444444444,0.986111111111111,0.958333333333333,0.986111111111111,-0.0416666666666667,-0.0277777777777778,-0.0138888888888888,-0.0138888888888888,-0.013888888888889,0,0,0
