"Subject","Self_Good","Self_Bad","Other_Good","Other_Bad","good_bad_slf","good_bad_oth","slf_oth_good","slf_oth_bad"
"7003",580.24272875817,577.52323943662,571.253374741201,615.538701325601,2.71948932155033,-44.2853265843999,8.98935401696917,-38.015461888981
"7004",502.758611111111,502.687623355263,551.90946969697,498.127898550725,0.0709877558479661,53.781571146245,-49.1508585858585,4.55972480453852
"7005",471.479861111111,537.986094177002,483.041515700483,501.733255597015,-66.5062330658912,-18.6917398965318,-11.561654589372,36.2528385799874
"7006",504.153104575163,487.142613636364,462.368133802817,524.598721590909,17.0104909387998,-62.2305877880922,41.7849707723465,-37.4561079545455
"7007",505.670227743271,547.871739130435,532.841428571429,513.762001173709,-42.2015113871636,19.0794273977197,-27.1712008281575,34.1097379567258
"7008",439.039644607843,479.918191964286,482.944682539683,475.302590819487,-40.8785473564426,7.64209172019503,-43.9050379318394,4.61560114479823
"7009",577.48875,640.143050847458,610.714369256475,553.230256410256,-62.6543008474576,57.4841128462182,-33.2256192564746,86.9127944372012
"7010",472.936428571429,432.544082550861,425.64811228482,454.879621848739,40.3923460205679,-29.2315095639194,47.2883162866085,-22.3355392978788
"7011",505.935858908781,495.223166109253,545.072957839262,519.783823529412,10.7126927995279,25.2891343098505,-39.1370989304813,-24.5606574201587
"7012",470.160230179028,494.404168107921,518.630929791271,485.376388888889,-24.243937928893,33.2545409023825,-48.4706996122432,9.02777921903225
"7013",453.406748826291,537.442957746479,496.1375,525.753676470588,-84.0362089201878,-29.6161764705882,-42.730751173709,11.6892812758906
"7015",510.414179104478,527.305902306649,530.990648674242,521.94423486786,-16.891723202171,9.04641380638236,-20.5764695697649,5.36166743878846
"7016",498.805138888889,585.604183998043,640.39229208925,525.805633802817,-86.7990451091537,114.586658286433,-141.587153200361,59.7985501952256
"7018",505.721527777778,495.790972222222,458.879166666667,546.207638888889,9.9305555555556,-87.3284722222222,46.8423611111111,-50.4166666666666
"7019",571.625774804905,587.62851981352,582.035361168033,572.12619047619,-16.0027450086147,9.90917069184229,-10.4095863631276,15.5023293373295
"7020",596.802083333333,588.123963223787,619.713768115942,600.005555555556,8.67812010954606,19.7082125603864,-22.9116847826087,-11.8815923317684
"7022",601.021342571558,623.791630434783,603.157291440953,663.309203036053,-22.7702878632243,-60.1519115950996,-2.13594886939518,-39.5175726012704
"7023",509.555797101449,517.21240942029,519.177516953573,524.365952380952,-7.65661231884064,-5.18843542737909,-9.6217198521241,-7.15354296066255
"7025",500.959148550725,543.389573268921,559.602590460526,498.807273641851,-42.4304247181964,60.7953168186751,-58.6434419098016,44.5822996270699
"7026",532.17,524.422059195548,456.651237424547,555.187896825397,7.74794080445236,-98.5366594008495,75.5187625754528,-30.7658376298491
"7028",548.731455399061,623.480746268657,662.610669398907,596.751076604555,-74.7492908695956,65.8595927943524,-113.879213999846,26.7296696641019
"7029",547.391791044776,601.869701213819,616.490618495391,600.625036057692,-54.4779101690427,15.8655824376987,-69.0988274506149,1.24466515612653
"7030",501.918838028169,501.206719483568,468.298020004082,502.881308685446,0.712118544600969,-34.5832886813636,33.6208180240866,-1.67458920187795
"7031",612.26306562426,614.480151515151,682.801450892857,618.227305665349,-2.21708589089178,64.574145227508,-70.5383852685975,-3.74715415019773
"7032",463.284671125975,591.288888888889,621.735577526679,582.152490096208,-128.004217762913,39.583087430471,-158.450906400704,9.13639879268067
"7033",547.804722452361,518.849496981891,574.142312834225,456.522535211268,28.9552254704698,117.619777622957,-26.3375903818635,62.3269617706237
"7034",477.715942028986,448.898811498065,428.670935960591,475.15082054561,28.8171305309203,-46.4798845850185,49.0450060683944,-26.2520090475443
