stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.854020357131958,0.878508985042572,0.11528388410806656,0.0005996928666718304,0.013890356756746769,True,32.696590423583984,0.21242021024227142
mean_ub,0.6810374855995178,0.7054351568222046,0.0859646126627922,0.0005952463834546506,0.007985359989106655,True,39.879547119140625,0.28381064534187317
std_ub,0.13727711141109467,0.19256089627742767,0.06726577877998352,0.003056296380236745,0.007581192534416914,True,22.36931800842285,0.8218708038330078
10q_ub,0.5159000158309937,0.5264400243759155,0.051495350897312164,0.00011109211482107639,0.002762996591627598,True,37.88522720336914,0.20467914640903473
30q_ub,0.5993000268936157,0.5835703015327454,0.05882519483566284,0.00024742342066019773,0.0037078731693327427,True,59.27159118652344,0.26739731431007385
50q_ub,0.6682000160217285,0.6505745053291321,0.07335404306650162,0.00031065806979313493,0.005691512953490019,True,59.873863220214844,0.24027979373931885
70q_ub,0.746940016746521,0.7487441301345825,0.10069389641284943,3.254885541537078e-06,0.010142674669623375,True,51.12841033935547,0.017916975542902946
90q_ub,0.8684800267219543,0.9522975087165833,0.1681983470916748,0.007025374565273523,0.03531596064567566,True,33.647727966308594,0.4983254075050354
mean_lb,-0.6935294270515442,-0.71346515417099,0.11865416169166565,0.0003974340797867626,0.014476402662694454,True,54.76893997192383,0.16801558434963226
std_lb,0.15341384708881378,0.15915361046791077,0.10646092146635056,3.2944946724455804e-05,0.011367016471922398,True,50.49042892456055,0.053914327174425125
10q_lb,0.5140600204467773,0.5675667524337769,0.08863727748394012,0.002862972440198064,0.010719532147049904,True,22.66767692565918,0.6036596894264221
30q_lb,0.6110699772834778,0.6155988574028015,0.09460259974002838,2.0510549802565947e-05,0.008970273658633232,True,51.57681655883789,0.04787244275212288
50q_lb,0.6865000128746033,0.6723323464393616,0.11099673807621002,0.00020072241022717208,0.012520983815193176,True,59.259765625,0.1276402622461319
70q_lb,0.7653300166130066,0.7534197568893433,0.14405786991119385,0.00014185388863552362,0.020894639194011688,True,56.946685791015625,0.08267679810523987
90q_lb,0.8974199891090393,0.8989676237106323,0.22918345034122467,2.395139063082752e-06,0.0525277815759182,True,53.35477066040039,0.006752772722393274
