stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.854020357131958,0.874020516872406,0.10624902695417404,0.00040000633453018963,0.011689729057252407,True,32.720455169677734,0.18823851644992828
mean_ub,0.6810374855995178,0.7082454562187195,0.0903143510222435,0.0007402736810036004,0.008897005580365658,True,39.77159118652344,0.30125856399536133
std_ub,0.13727711141109467,0.16673000156879425,0.05329291895031929,0.0008674724958837032,0.0037076370790600777,True,32.71818161010742,0.5526604056358337
10q_ub,0.5159000158309937,0.5470386147499084,0.06517624109983444,0.0009696133201941848,0.00521776732057333,True,32.28863525390625,0.4777602255344391
30q_ub,0.5993000268936157,0.6036168932914734,0.07192197442054749,1.8635568267200142e-05,0.005191416013985872,True,47.39204406738281,0.06002189591526985
50q_ub,0.6682000160217285,0.6651052832603455,0.0824303925037384,9.577272066962905e-06,0.0068044112995266914,True,51.349998474121094,0.037543393671512604
70q_ub,0.746940016746521,0.7504826784133911,0.1011248305439949,1.255057031812612e-05,0.010238923132419586,True,49.42954635620117,0.0350327268242836
90q_ub,0.8684800267219543,0.921734094619751,0.14908334612846375,0.0028359985444694757,0.02506173774600029,True,38.9636344909668,0.3572102189064026
mean_lb,-0.6935294270515442,-0.6349309086799622,0.1000300869345665,0.003433783771470189,0.0134399039670825,True,27.086040496826172,0.5858086943626404
std_lb,0.15341384708881378,0.12211993336677551,0.08301464468240738,0.0009793087374418974,0.007871011272072792,True,69.092529296875,0.37696853280067444
10q_lb,0.5140600204467773,0.5269392728805542,0.07329917699098587,0.0001658756664255634,0.005538628902286291,True,42.538021087646484,0.17570829391479492
30q_lb,0.6110699772834778,0.5596596598625183,0.07903044670820236,0.0026430231519043446,0.008888897486031055,True,76.52230834960938,0.6505131125450134
50q_lb,0.6865000128746033,0.6002007126808167,0.09165158867835999,0.0074475668370723724,0.01584775559604168,True,84.40518188476562,0.9416016340255737
70q_lb,0.7653300166130066,0.6611827611923218,0.11666063964366913,0.010846647433936596,0.024456972256302834,True,82.5541763305664,0.8927367329597473
90q_lb,0.8974199891090393,0.7764194011688232,0.18470020592212677,0.01464114524424076,0.048756107687950134,True,76.7822265625,0.6551189422607422
