stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.506382405757904,0.5054105520248413,0.47374427318573,9.444719921702927e-07,0.22443459928035736,True,49.975608825683594,0.002051400952041149
mean_ub,0.48784181475639343,0.5121065378189087,0.12294350564479828,0.0005887766601517797,0.01570388488471508,True,46.45730972290039,0.19736479222774506
std_ub,0.13731367886066437,0.15977542102336884,0.10724180191755295,0.0005045299767516553,0.012005333788692951,True,43.703338623046875,0.20944952964782715
10q_ub,0.3387799859046936,0.3624480664730072,0.11346099525690079,0.0005601773736998439,0.013433577492833138,True,47.806697845458984,0.20860090851783752
30q_ub,0.4081000089645386,0.41436946392059326,0.11031551659107208,3.9306178223341703e-05,0.012208819389343262,True,56.78325653076172,0.05683211237192154
50q_ub,0.4666999876499176,0.4718930125236511,0.11861447244882584,2.69673782895552e-05,0.014096362516283989,True,55.38593292236328,0.043780598789453506
70q_ub,0.5346199870109558,0.5531827807426453,0.1445288211107254,0.00034457683796063066,0.021233154460787773,True,49.82424545288086,0.12843653559684753
90q_ub,0.6592000126838684,0.7087739706039429,0.22437244653701782,0.002457578666508198,0.05280057340860367,True,45.29093933105469,0.22094500064849854
mean_lb,-0.5179312229156494,-0.5451116561889648,0.13422982394695282,0.0007387757068499923,0.018756423145532608,True,53.85280990600586,0.20249173045158386
std_lb,0.13953067362308502,0.16345112025737762,0.10686388611793518,0.0005721880006603897,0.011992079205811024,True,40.279109954833984,0.2238403707742691
10q_lb,0.36155998706817627,0.3884080648422241,0.1302659660577774,0.0007208185852505267,0.017690042033791542,True,47.729732513427734,0.2061019092798233
30q_lb,0.4387899935245514,0.4451448321342468,0.12562105059623718,4.038389306515455e-05,0.015821034088730812,True,58.11516571044922,0.05058731883764267
50q_lb,0.5005000233650208,0.5061646103858948,0.13177108764648438,3.208780981367454e-05,0.017395708709955215,True,56.09835433959961,0.042988263070583344
70q_lb,0.5654000043869019,0.58977872133255,0.15377679467201233,0.0005943220457993448,0.024241626262664795,True,48.715728759765625,0.15853315591812134
90q_lb,0.6998400092124939,0.7482971549034119,0.2281181812286377,0.002348095877096057,0.05438600480556488,True,44.85519027709961,0.2124212682247162
