stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.854020357131958,0.8789840340614319,0.11208877712488174,0.0006231851293705404,0.01318811159580946,True,32.98977279663086,0.2227134257555008
mean_ub,0.6810374855995178,0.7131229043006897,0.08993012458086014,0.0010294740786775947,0.009117263369262218,True,38.09659194946289,0.35678166151046753
std_ub,0.13727711141109467,0.17819954454898834,0.06089835613965988,0.0016746452311053872,0.00538327032700181,True,27.926136016845703,0.6719791889190674
10q_ub,0.5159000158309937,0.5415006279945374,0.05591302365064621,0.0006553921266458929,0.0037815121468156576,True,31.410226821899414,0.4578652083873749
30q_ub,0.5993000268936157,0.6012927889823914,0.0656488686800003,3.971208116126945e-06,0.004313802812248468,True,48.22840881347656,0.030355267226696014
50q_ub,0.6682000160217285,0.6665502786636353,0.0801403820514679,2.7215805857849773e-06,0.0064252931624650955,True,51.66022872924805,0.02058539353311062
70q_ub,0.746940016746521,0.7576560974121094,0.10445879399776459,0.0001148347437265329,0.01102660596370697,True,48.085227966308594,0.10258683562278748
90q_ub,0.8684800267219543,0.9414756894111633,0.1623637080192566,0.005328370723873377,0.031690217554569244,True,35.86249923706055,0.4495813250541687
mean_lb,-0.6935294270515442,-0.6449897885322571,0.10987745970487595,0.0023560943081974983,0.014428897760808468,True,29.79412078857422,0.4417613744735718
std_lb,0.15341384708881378,0.13112898170948029,0.0939059779047966,0.000496614957228303,0.009314429014921188,True,64.43383026123047,0.23731034994125366
10q_lb,0.5140600204467773,0.5294126272201538,0.0866454467177391,0.0002357031626161188,0.00774335814639926,True,44.761253356933594,0.17718908190727234
30q_lb,0.6110699772834778,0.5643274784088135,0.0913831889629364,0.0021848634351044893,0.010535662062466145,True,75.59220886230469,0.5115002393722534
50q_lb,0.6865000128746033,0.6076876521110535,0.10348691046237946,0.006211386062204838,0.01692124269902706,True,81.28612518310547,0.7615682482719421
70q_lb,0.7653300166130066,0.6726989150047302,0.12904880940914154,0.008580517955124378,0.02523481659591198,True,79.22857666015625,0.7177988290786743
90q_lb,0.8974199891090393,0.7968209385871887,0.201821431517601,0.010120171122252941,0.05085238814353943,True,72.94183349609375,0.49845579266548157
