stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.854020357131958,0.8751957416534424,0.11112413555383682,0.00044839686597697437,0.012796969152987003,True,32.01022720336914,0.1905561089515686
mean_ub,0.6810374855995178,0.7013781666755676,0.08632884174585342,0.00041374334250576794,0.007866672240197659,True,41.10454559326172,0.23561860620975494
std_ub,0.13727711141109467,0.17895138263702393,0.05546827241778374,0.0017367445398122072,0.004813456442207098,True,24.3306827545166,0.7513172030448914
10q_ub,0.5159000158309937,0.5355879068374634,0.06258393824100494,0.0003876136615872383,0.0043044015765190125,True,37.702274322509766,0.31458401679992676
30q_ub,0.5993000268936157,0.5882720947265625,0.06787142157554626,0.00012161469203419983,0.004728189203888178,True,54.97840881347656,0.16248230636119843
50q_ub,0.6682000160217285,0.6503614783287048,0.0777287557721138,0.00031821284210309386,0.006359937600791454,True,58.16931915283203,0.22949707508087158
70q_ub,0.746940016746521,0.741142213344574,0.09706530719995499,3.361433118698187e-05,0.00945547129958868,True,52.66704559326172,0.059730783104896545
90q_ub,0.8684800267219543,0.9300788640975952,0.14812830090522766,0.0037944200448691845,0.02573692612349987,True,36.2613639831543,0.415848046541214
mean_lb,-0.6935294270515442,-0.7049452066421509,0.11483427882194519,0.0001303205208387226,0.013317348435521126,True,52.978668212890625,0.09941109269857407
std_lb,0.15341384708881378,0.14591141045093536,0.09422115981578827,5.628647340927273e-05,0.008933545090258121,True,56.79335021972656,0.07962575554847717
10q_lb,0.5140600204467773,0.5712404847145081,0.08718249201774597,0.003269607899710536,0.010870054364204407,True,23.216819763183594,0.6558712124824524
30q_lb,0.6110699772834778,0.6153175234794617,0.09371428191661835,1.8041455405182205e-05,0.008800477720797062,True,49.705562591552734,0.045324184000492096
50q_lb,0.6865000128746033,0.6676007509231567,0.10854213684797287,0.00035718161961995065,0.01213869359344244,True,59.312034606933594,0.1741190105676651
70q_lb,0.7653300166130066,0.7418699264526367,0.13631761074066162,0.0005503750289790332,0.019133098423480988,True,59.1121940612793,0.17209862172603607
90q_lb,0.8974199891090393,0.8744044899940491,0.2093650996685028,0.0005297136958688498,0.04436403140425682,True,57.37158203125,0.10993002355098724
