v_subj(Other.match.Good).7316,1.000003263
,
z_subj_trans.7336,1.000639619
,
t_subj(Other.mismatch.Good).7307,1.000014108
,
v_subj(Other.mismatch.Good).7324,1.000001186
,
v_subj(Self.match.Bad).7320,0.999985106
,
a_subj.7314,1.000244996
,
v_subj(Other.mismatch.Bad).7341,0.999907887
,
a_subj.73370,1.000134325
,
t_subj(Other.mismatch.Bad).7317,0.999918972
,
v_subj(Self.match.Bad).7326,1.000171971
,
t_subj(Self.match.Bad).7341,0.999918347
,
v_subj(Self.mismatch.Good).7305,1.000128029
,
v(Self.match.Bad),0.999942526
,
t_subj(Self.mismatch.Bad).7337,0.999967795
,
v_subj(Other.mismatch.Good).7321,1.000080794
,
v_subj(Self.mismatch.Bad).7317,1.00014297
,
v_subj(Other.match.Good).7325,1.000007219
,
t_subj(Other.match.Good).7319,0.999894427
,
v_subj(Other.mismatch.Bad).7317,1.000163422
,
v_subj(Other.match.Good).7327,1.000117153
,
t_subj(Other.mismatch.Bad).7331,0.999929387
,
v_subj(Self.match.Bad).7336,1.000191206
,
t_subj(Other.match.Bad).7332,1.000167615
,
v_subj(Self.mismatch.Good).7319,1.000015795
,
t_subj(Self.mismatch.Good).7323,0.999946399
,
v_subj(Self.match.Bad).7343,1.000581765
,
t_subj(Other.match.Good).7344,1.000119219
,
t_subj(Other.mismatch.Good).7321,1.000081827
,
t_subj(Other.match.Good).7312,0.999963511
,
t_subj(Other.match.Bad).7333,1.00011531
,
v_subj(Self.mismatch.Bad).7327,1.000307827
,
t_subj(Other.match.Bad).7304,0.999948383
,
a_subj.7322,1.000014277
,
t_subj(Other.match.Good).7332,1.000078405
,
t_subj(Self.mismatch.Bad).7335,1.000104166
,
z_subj_trans.7308,1.000401726
,
v_subj(Self.match.Good).7327,0.999961826
,
v_subj(Other.match.Bad).7332,1.000142023
,
t_subj(Self.mismatch.Bad).7324,1.000198215
,
t_subj(Self.mismatch.Bad).7306,1.00024206
,
t_subj(Other.match.Good).7342,0.999970116
,
t_subj(Other.mismatch.Bad).7328,1.000095464
,
v_subj(Self.mismatch.Bad).7331,1.000191887
,
z_subj_trans.7326,1.000285191
,
v_subj(Self.match.Good).7342,0.999973626
,
v_subj(Other.mismatch.Good).7310,0.999948492
,
t_subj(Self.match.Bad).7315,0.99995374
,
t_subj(Self.mismatch.Good).7316,1.000209335
,
v_subj(Self.match.Bad).7341,1.000195001
,
a_subj.7319,1.000864131
,
v_subj(Other.mismatch.Bad).7345,1.000463467
,
t_subj(Self.match.Good).7319,0.999914518
,
v_subj(Self.match.Good).7319,1.000575809
,
v_subj(Self.mismatch.Bad).7329,1.000016085
,
t_subj(Self.match.Good).7337,1.000038423
,
t_subj(Self.match.Bad).7312,1.000343961
,
t_subj(Other.mismatch.Good).7314,1.000060165
,
t_subj(Other.mismatch.Good).7341,1.000023861
,
t_subj(Other.match.Bad).7322,1.000144655
,
v_subj(Self.mismatch.Bad).7313,1.000004267
,
t_subj(Other.mismatch.Bad).7333,0.999950571
,
v_subj(Other.match.Good).7340,1.000010648
,
v_subj(Other.mismatch.Good).7335,1.00010381
,
t_subj(Self.mismatch.Bad).7342,1.000109958
,
t_subj(Other.match.Good).7329,1.000050885
